,Epoch index,age_of_view,timeliness,consistence,completeness,queuing_time,transmitting_time,service_time,service_rate
0,,,,,,,,,
1,0,46.52453114843259,45.23918798901344,1623.5380711012403,0.34247690372445283,0.34187444340007117,0.0054,0.3472744434000713,0.0
2,1,46.3695946466957,84.22301830278113,1680.6334657689943,0.3416676372828333,1.2120545022112459,0.005533333333333334,1.2175878355445788,0.0
3,2,79.9453029753095,54.53841740223839,1680.639432536727,0.52444886758122,1.0731778322890069,0.006533333333333334,1.0797111656223395,0.24472222222222212
4,3,52.105170409673995,46.36588046387271,1653.0841536461448,0.3798944043429336,0.39464588128468336,0.0057333333333333325,0.4003792146180169,0.02027777777777778
5,4,58.73049311181675,52.11524014493299,1721.506628618595,0.42097962304579983,0.21639224232456797,0.005733333333333333,0.22212557565790125,0.025833333333333337
6,5,55.36392099613135,42.22084115179659,1671.4674248826568,0.39666591451395355,0.2444168652584658,0.0054,0.24981686525846575,0.035833333333333335
7,6,50.65462988781151,49.1114398369098,1701.557425111562,0.37106713810880465,0.25984763874113254,0.005266666666666666,0.26511430540779923,0.005555555555555556
8,7,52.24609753419123,47.086550114273194,1664.5273409905897,0.3793528903014197,0.3238610995210412,0.0056,0.3294610995210414,0.025833333333333337
9,8,64.58356494123034,79.77894095884466,1671.6994679266697,0.4586698289002208,1.2034178666163695,0.006900000000000001,1.2103178666163692,0.05555555555555554
10,9,58.799673272583846,76.02303970943102,1698.4282642259104,0.42005264669970555,0.9921129493996894,0.005266666666666666,0.9973796160663555,0.0
