,Epoch index,age_of_view,timeliness,consistence,completeness,queuing_time,transmitting_time,service_time,service_rate
0,,,,,,,,,
1,0,67.96927137165459,67.0888086686924,237.51732456742135,0.44579701107715813,0.09637802319518152,0.011366666666666666,0.10774468986184817,0.0
2,1,67.53839622241837,68.35914108712497,248.193286102345,0.4398835674673915,0.10493687769315886,0.013933333333333336,0.11887021102649217,0.0
3,2,70.002112693638,62.28017200623024,249.1295998057982,0.44862488081091006,0.11167188673660311,0.010766666666666662,0.12243855340326976,0.0
4,3,66.85315228080995,67.08460597307719,270.1753555430835,0.44027001987663783,0.11302525695035714,0.015833333333333338,0.12885859028369046,0.0
5,4,67.50708061244403,68.94064619368994,221.22292677235043,0.44395040266106445,0.09321862619179454,0.013899999999999997,0.10711862619179453,0.0
6,5,62.98074227787178,65.02950329214912,255.543490347167,0.4184794934640523,0.10533285258835294,0.011166666666666663,0.1164995192550196,0.0
7,6,58.22278192762605,65.17748783780613,256.1077188718478,0.39696605109215416,0.09782089894663869,0.01256666666666666,0.11038756561330534,0.0
8,7,80.17896217560234,66.88101092658395,246.74731199382876,0.4962257878151263,0.11472257542111004,0.012766666666666664,0.12748924208777668,0.0
9,8,68.87635193707246,67.92082100879665,250.88559588964756,0.44755313021673326,0.08767201110451839,0.012633333333333331,0.10030534443785173,0.0
10,9,62.50693235700951,63.87720733234318,227.69851935371753,0.4164613721246073,0.11764303790681112,0.012699999999999998,0.13034303790681112,0.0
