,Epoch index,age_of_view,timeliness,consistence,completeness,queuing_time,transmitting_time,service_time,service_rate
0,,,,,,,,,
1,0,45.09142394633695,66.75646157120829,1315.8234886696623,0.3347624508389213,0.15062978295012633,0.007200000000000001,0.15782978295012634,0.0
2,1,69.03427176868084,76.10406836617008,730.7184681709699,0.47170032662054723,0.186033213698592,0.009399999999999999,0.19543321369859196,0.0
3,2,59.90144778623413,62.340284957761746,1689.703784350472,0.433763527254336,0.2179872250791176,0.017599999999999987,0.23558722507911747,0.006666666666666667
4,3,49.11643244656307,162.0820029964253,2671.7862827782237,0.36767518992445464,0.17023393362929265,0.010599999999999997,0.18083393362929268,0.0
5,4,63.210984505679725,100.50483933496952,593.2723815734099,0.43525268759018765,0.16832712035615577,0.008633333333333333,0.17696045368948918,0.0
6,5,53.47937602433112,59.926272938908454,1745.5522362806098,0.39156572411792984,0.2039771312116292,0.008799999999999994,0.2127771312116291,0.0
7,6,52.93610816565738,163.5515374966065,1082.0799688234777,0.39118208644568897,0.17564979699802202,0.0057,0.18134979699802203,0.0
8,7,69.31538403828237,159.25178489109626,485.8135779519352,0.47262592645644114,0.18351302650167586,0.007433333333333327,0.1909463598350092,0.0
9,8,59.73655837334532,69.29156220352446,842.6396664597293,0.4245305410548058,0.18882257554682477,0.0075,0.19632257554682467,0.0
10,9,55.889691623517486,169.21014447089945,1127.0889582958423,0.40576543445661073,0.16059054134826264,0.006266666666666669,0.16685720801492926,0.0
